2023-12-14 13:50:27
-0.000: SRC: 0x52, DST: 0x1, MESS: R00 - OK
0.012: C2E
0.012: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3E26
0.043: SRC: 0x52, DST: 0x0, MESS: PDI 2A2C2E
0.043: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3E26
0.068: SRC: 0x53, DST: 0x0, MESS: PDI 2A2C2E
0.068: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3E26
0.093: SRC: 0x52, DST: 0x0, MESS: PDI 2A2C2E
0.094: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3E26
0.118: SRC: 0x53, DST: 0x0, MESS: PDI 2A2C2E
0.119: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3E26
0.143: SRC: 0x52, DST: 0x0, MESS: PDI 2A2C2E
0.144: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3E26
0.168: SRC: 0x53, DST: 0x0, MESS: PDI 2A2C2E
0.169: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3E26
0.192: SRC: 0x52, DST: 0x0, MESS: PDI 2A2C2E
0.193: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3E26
0.218: SRC: 0x53, DST: 0x0, MESS: PDI 2A2C2E
0.219: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3E26
0.242: SRC: 0x52, DST: 0x0, MESS: PDI 2A2C2E
0.243: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3E26
0.268: SRC: 0x53, DST: 0x0, MESS: PDI 2A2C2E
0.269: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3E26
0.292: SRC: 0x52, DST: 0x0, MESS: PDI 2A2C2E
0.293: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3E26
0.319: SRC: 0x53, DST: 0x0, MESS: PDI 2A2C2E
0.319: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3E26
0.342: SRC: 0x52, DST: 0x0, MESS: PDI 2A2C2E
0.343: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3E26
0.369: SRC: 0x53, DST: 0x0, MESS: PDI 2A2C2E
0.369: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3E26
0.392: SRC: 0x52, DST: 0x0, MESS: PDI 2A2C2E
0.393: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3E26
0.442: SRC: 0x1, DST: 0x52, MESS: GGS
0.442: SRC: 0x1, DST: 0x53, MESS: GGS
0.443: SRC: 0x52, DST: 0x1, MESS: R00 11 0
0.443: SRC: 0x53, DST: 0x1, MESS: R00 11 0
0.443: SRC: 0x53, DST: 0x0, MESS: PDI 2A2C2E
0.444: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3E26
0.444: SRC: 0x1, DST: 0x52, MESS: IGI 1
0.445: SRC: 0x1, DST: 0x53, MESS: IGI 1
0.445: SRC: 0x52, DST: 0x1, MESS: R00 0
0.446: SRC: 0x53, DST: 0x1, MESS: R00 0
0.446: SRC: 0x52, DST: 0x0, MESS: PDI 2A2C2E
0.447: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3E26
0.468: SRC: 0x53, DST: 0x0, MESS: PDI 2A2C2E
0.469: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3E26
0.492: SRC: 0x52, DST: 0x0, MESS: PDI 2A2C2E
0.493: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3E26
0.518: SRC: 0x53, DST: 0x0, MESS: PDI 2A2C2E
0.519: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3E26
0.542: SRC: 0x52, DST: 0x0, MESS: PDI 2A2C2E
0.543: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3E26
0.568: SRC: 0x53, DST: 0x0, MESS: PDI 2A2C2E
0.569: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3E26
0.592: SRC: 0x52, DST: 0x0, MESS: PDI 2A2C2E
0.593: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3E26
0.618: SRC: 0x53, DST: 0x0, MESS: PDI 2A2C2E
0.618: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3E26
0.642: SRC: 0x52, DST: 0x0, MESS: PDI 2A2C2E
0.642: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3E26
0.668: SRC: 0x53, DST: 0x0, MESS: PDI 2A2C2E
0.668: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3E26
0.693: SRC: 0x52, DST: 0x0, MESS: PDI 2A2C2E
0.693: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3E26
0.718: SRC: 0x53, DST: 0x0, MESS: PDI 2A2D2E
0.718: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3E26
0.742: SRC: 0x52, DST: 0x0, MESS: PDI 2A2D2E
0.743: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3E26
0.768: SRC: 0x53, DST: 0x0, MESS: PDI 2A2D2E
0.768: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3E26
0.793: SRC: 0x52, DST: 0x0, MESS: PDI 2A2D2E
0.793: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3E26
0.818: SRC: 0x53, DST: 0x0, MESS: PDI 2A2D2E
0.818: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3E26
0.868: SRC: 0x1, DST: 0x52, MESS: GGS
0.869: SRC: 0x1, DST: 0x53, MESS: GGS
0.869: SRC: 0x52, DST: 0x1, MESS: R00 11 0
0.870: SRC: 0x53, DST: 0x1, MESS: R00 11 0
0.870: SRC: 0x52, DST: 0x0, MESS: PDI 2A2D2E
0.870: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3E26
0.871: SRC: 0x1, DST: 0x52, MESS: IGI 1
0.871: SRC: 0x1, DST: 0x53, MESS: IGI 1
0.872: SRC: 0x52, DST: 0x1, MESS: R00 2
0.872: SRC: 0x53, DST: 0x1, MESS: R00 2
0.872: SRC: 0x53, DST: 0x0, MESS: PDI 2A2D2E
0.873: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3E26
0.892: SRC: 0x52, DST: 0x0, MESS: PDI 2A2D2E
0.893: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3E26
0.918: SRC: 0x53, DST: 0x0, MESS: PDI 2A2D2E
0.918: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3E26
0.943: SRC: 0x52, DST: 0x0, MESS: PDI 2A2D2F
0.943: SRC: 0x52, DST: 0x53, MESS: PDI 2A2F3E26
0.967: SRC: 0x53, DST: 0x0, MESS: PDI 2A2D2E
0.968: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3E26
0.992: SRC: 0x52, DST: 0x0, MESS: PDI 2A2D2F
0.993: SRC: 0x52, DST: 0x53, MESS: PDI 2A2F3E26
1.018: SRC: 0x53, DST: 0x0, MESS: PDI 2A2D2E
1.019: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3E26
1.042: SRC: 0x52, DST: 0x0, MESS: PDI 2A2D2F
1.043: SRC: 0x52, DST: 0x53, MESS: PDI 2A2F3E26
1.068: SRC: 0x53, DST: 0x0, MESS: PDI 2A2D2F
1.068: SRC: 0x53, DST: 0x52, MESS: PDI 2A2F3E26
1.092: Stop
1.092: Stop
1.092: SRC: 0x52, DST: 0x0, MESS: PDI 2B2D2F
1.093: SRC: 0x52, DST: 0x53, MESS: PDI 2B2F3E26
1.118: SRC: 0x53, DST: 0x0, MESS: PDI 2A2D2F
1.119: SRC: 0x53, DST: 0x52, MESS: PDI 2A2F3E26
1.142: SRC: 0x52, DST: 0x0, MESS: PDI 2B2C2F
1.143: SRC: 0x52, DST: 0x53, MESS: PDI 2B2F3E26
1.168: SRC: 0x53, DST: 0x0, MESS: PDI 2B2D2F
1.169: SRC: 0x53, DST: 0x52, MESS: PDI 2B2F3E26
1.192: SRC: 0x52, DST: 0x0, MESS: PDI 2B2C2F
1.193: SRC: 0x52, DST: 0x53, MESS: PDI 2B2F3E26
1.218: SRC: 0x53, DST: 0x0, MESS: PDI 2B2C2F
1.218: SRC: 0x53, DST: 0x52, MESS: PDI 2B2F3E26
1.242: SRC: 0x52, DST: 0x0, MESS: PDI 2B2C2F
1.242: SRC: 0x52, DST: 0x53, MESS: PDI 2B2F3E26
1.293: SRC: 0x53, DST: 0x0, MESS: PDI 2B2C2F
1.293: SRC: 0x1, DST: 0x52, MESS: GGS
1.294: SRC: 0x1, DST: 0x53, MESS: GGS
1.294: SRC: 0x52, DST: 0x1, MESS: R00 11 0
1.294: SRC: 0x53, DST: 0x1, MESS: R00 11 0
1.295: SRC: 0x53, DST: 0x52, MESS: PDI 2B2F3E26
1.296: SRC: 0x1, DST: 0x52, MESS: IGI 1
1.296: SRC: 0x1, DST: 0x53, MESS: IGI 1
1.297: SRC: 0x52, DST: 0x1, MESS: R00 14
1.297: SRC: 0x53, DST: 0x1, MESS: R00 14
1.298: SRC: 0x52, DST: 0x0, MESS: PDI 2B2C2F
1.298: SRC: 0x52, DST: 0x53, MESS: PDI 2B2F3E26
1.318: SRC: 0x53, DST: 0x0, MESS: PDI 2B2C2F
1.319: SRC: 0x53, DST: 0x52, MESS: PDI 2B2F3E26
1.342: SRC: 0x52, DST: 0x0, MESS: PDI 2B2C2E
1.343: SRC: 0x52, DST: 0x53, MESS: PDI 2B2E3E26
1.343: Stop
1.343: Stop
1.343: Stop
1.343: Stop
1.343: Stop
1.344: Stop
1.368: SRC: 0x53, DST: 0x0, MESS: PDI 2B2C2E
1.368: SRC: 0x53, DST: 0x52, MESS: PDI 2B2E3E26
1.393: SRC: 0x52, DST: 0x0, MESS: PDI 2B2C2E
1.393: SRC: 0x52, DST: 0x53, MESS: PDI 2B2E3E26
1.418: SRC: 0x53, DST: 0x0, MESS: PDI 2B2C2E
1.418: SRC: 0x53, DST: 0x52, MESS: PDI 2B2E3E26
1.443: SRC: 0x52, DST: 0x0, MESS: PDI 2B2C2E
