2024-06-10 13:56:18
0.004: SRC: 0x52, DST: 0x1, MESS: R00 - OK
0.027: SRC: 0x52, DST: 0x0, MESS: PDI 2A2C2E
0.028: SRC: 0x53, DST: 0x0, MESS: PDI 2A2C2E
0.029: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3E26
0.030: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3E26
0.077: SRC: 0x52, DST: 0x0, MESS: PDI 2A2C2E
0.078: SRC: 0x53, DST: 0x0, MESS: PDI 2A2C2E
0.079: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3E26
0.080: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3E26
0.127: SRC: 0x52, DST: 0x0, MESS: PDI 2A2C2E
0.127: SRC: 0x53, DST: 0x0, MESS: PDI 2A2C2E
0.128: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3E26
0.129: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3E26
0.177: SRC: 0x52, DST: 0x0, MESS: PDI 2A2C2E
0.178: SRC: 0x53, DST: 0x0, MESS: PDI 2A2C2E
0.179: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3E26
0.180: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3E26
0.227: SRC: 0x52, DST: 0x0, MESS: PDI 2A2C2E
0.227: SRC: 0x53, DST: 0x0, MESS: PDI 2A2C2E
0.228: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3E26
0.230: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3E26
0.277: SRC: 0x52, DST: 0x0, MESS: PDI 2A2C2E
0.278: SRC: 0x53, DST: 0x0, MESS: PDI 2A2C2E
0.278: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3E26
0.279: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3E26
0.327: SRC: 0x52, DST: 0x0, MESS: PDI 2A2C2E
0.327: SRC: 0x53, DST: 0x0, MESS: PDI 2A2C2E
0.328: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3E26
